! "fx" vector for fixed gases adjustment.
! For use with pmult=0.58
! Note: layer 1 is top of atmosphere.
! layer   fx
! ---  -----------
  100  1.00360E+00
   99  1.00347E+00
   98  1.00329E+00
   97  1.00314E+00
   96  1.00299E+00
   95  1.00281E+00
   94  1.00264E+00
   93  1.00249E+00
   92  1.00235E+00
   91  1.00220E+00
   90  1.00205E+00
   89  1.00189E+00
   88  1.00176E+00
   87  1.00159E+00
   86  1.00144E+00
   85  1.00131E+00
   84  1.00118E+00
   83  1.00109E+00
   82  1.00097E+00
   81  1.00087E+00
   80  1.00080E+00
   79  1.00070E+00
   78  1.00062E+00
   77  1.00059E+00
   76  1.00053E+00
   75  1.00046E+00
   74  1.00043E+00
   73  1.00037E+00
   72  1.00034E+00
   71  1.00030E+00
   70  1.00027E+00
   69  1.00026E+00
   68  1.00024E+00
   67  1.00018E+00
   66  1.00018E+00
   65  1.00016E+00
   64  1.00013E+00
   63  1.00012E+00
   62  1.00013E+00
   61  1.00008E+00
   60  1.00008E+00
   59  1.00012E+00
   58  1.00006E+00
   57  1.00006E+00
   56  1.00007E+00
   55  1.00007E+00
   54  1.00010E+00
   53  1.00010E+00
   52  1.00008E+00
   51  1.00010E+00
   50  1.00006E+00
   49  1.00009E+00
   48  1.00007E+00
   47  1.00004E+00
   46  1.00008E+00
   45  1.00009E+00
   44  1.00010E+00
   43  1.00011E+00
   42  1.00010E+00
   41  1.00011E+00
   40  1.00011E+00
   39  1.00012E+00
   38  1.00012E+00
   37  1.00012E+00
   36  1.00013E+00
   35  1.00013E+00
   34  1.00013E+00
   33  1.00014E+00
   32  1.00014E+00
   31  1.00013E+00
   30  1.00015E+00
   29  1.00015E+00
   28  1.00015E+00
   27  1.00015E+00
   26  1.00015E+00
   25  1.00017E+00
   24  1.00018E+00
   23  1.00017E+00
   22  1.00015E+00
   21  1.00015E+00
   20  1.00013E+00
   19  1.00016E+00
   18  1.00013E+00
   17  1.00011E+00
   16  1.00010E+00
   15  1.00012E+00
   14  1.00012E+00
   13  1.00012E+00
   12  1.00012E+00
   11  1.00012E+00
   10  1.00015E+00
    9  1.00019E+00
    8  1.00018E+00
    7  1.00022E+00
    6  1.00023E+00
    5  1.00020E+00
    4  1.00021E+00
    3  1.00025E+00
    2  1.00083E+00
    1  1.00082E+00
