! Solar data file for CrIS hiRes 080808 SARTA fast model
!
! Data for 645-1500 cm-1 comes from M.P. Thekaekara, 1973 Solar
! Energy v.14 p.109-127 (supplied to us by Chris Barnet).  The ~80
! cm-1 point spacing data has been interpolated to the IASI
! channel freqs and converted to W/(m2.sr.cm-1).
!
! Data for 1500-2760 cm-1 comes from ATMOS Solar Spectra, and was
! supplied to us by ATMOS Principal Investigator Michael Gunson.
! In particular we used the file "atmos_corrected_solar.mat".
! This data was then directly convolved with IASI SRFs (Gaussian
! 2cm apodization) for each channel to approximate the effective
! solar irradiance.
!
!chan frequency  solar
!----  -------  -------
2212  647.500   15.415
2213  648.125   15.440
2214  648.750   15.466
2215  649.375   15.492
   1  650.000   15.517
   2  650.625   15.543
   3  651.250   15.569
   4  651.875   15.595
   5  652.500   15.621
   6  653.125   15.648
   7  653.750   15.674
   8  654.375   15.700
   9  655.000   15.727
  10  655.625   15.754
  11  656.250   15.781
  12  656.875   15.808
  13  657.500   15.835
  14  658.125   15.863
  15  658.750   15.890
  16  659.375   15.918
  17  660.000   15.945
  18  660.625   15.973
  19  661.250   16.001
  20  661.875   16.029
  21  662.500   16.057
  22  663.125   16.085
  23  663.750   16.114
  24  664.375   16.142
  25  665.000   16.171
  26  665.625   16.200
  27  666.250   16.229
  28  666.875   16.259
  29  667.500   16.288
  30  668.125   16.318
  31  668.750   16.347
  32  669.375   16.377
  33  670.000   16.407
  34  670.625   16.438
  35  671.250   16.468
  36  671.875   16.498
  37  672.500   16.529
  38  673.125   16.559
  39  673.750   16.590
  40  674.375   16.621
  41  675.000   16.652
  42  675.625   16.684
  43  676.250   16.715
  44  676.875   16.746
  45  677.500   16.778
  46  678.125   16.809
  47  678.750   16.841
  48  679.375   16.873
  49  680.000   16.905
  50  680.625   16.938
  51  681.250   16.969
  52  681.875   17.002
  53  682.500   17.034
  54  683.125   17.066
  55  683.750   17.099
  56  684.375   17.132
  57  685.000   17.164
  58  685.625   17.197
  59  686.250   17.230
  60  686.875   17.262
  61  687.500   17.296
  62  688.125   17.328
  63  688.750   17.362
  64  689.375   17.395
  65  690.000   17.429
  66  690.625   17.462
  67  691.250   17.495
  68  691.875   17.529
  69  692.500   17.562
  70  693.125   17.596
  71  693.750   17.629
  72  694.375   17.663
  73  695.000   17.696
  74  695.625   17.730
  75  696.250   17.764
  76  696.875   17.797
  77  697.500   17.831
  78  698.125   17.865
  79  698.750   17.899
  80  699.375   17.933
  81  700.000   17.967
  82  700.625   18.001
  83  701.250   18.034
  84  701.875   18.069
  85  702.500   18.102
  86  703.125   18.136
  87  703.750   18.170
  88  704.375   18.204
  89  705.000   18.238
  90  705.625   18.272
  91  706.250   18.306
  92  706.875   18.340
